TopicType,Title,LiveUrl,PageViews,PVs MoM,Visitors,OrganicSearchReferrals,PrimaryKPIScoreRank,PrimaryKPIScoreRank Change,ClickThroughRate,CopyTryScrollRate,BounceRate,ExitRate,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,ScrollRate,MedianMaxScroll,DwellRate,CSATHelpfulRate,CSATResponseRate,CSATHelpfulRatings,CSATTotalResponses,RatingVerbatims,GitHubOpenIssueCount,GitHubTotalIssueCount,GitHubNewIssueCount,GitHubOpenIssuesLink,Freshness,LastCommitDateTime,LinesChanged,LastReviewed,MSAuthor,AcrolinxScore,AcrolinxClarity,PrimaryKPIScore,TopicKey
tutorial,Route network traffic - tutorial - Azure portal,https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-create-route-table-portal,"5,040",-11.69%,"3,669","2,543",27.71052632,-1.979867968,16.45%,86.89%,8.51%,43.63%,50.46%,10.50%,35.24%,3.45%,0.34%,5%,0%,87%,34,8.15%,100.00%,0.03%,1,1,0,2,16,2,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+5cc61595-d1ea-d72b-bef8-52e7b7838a14+in:body,> 365 days,2022-04-12,4,2021-03-16,mbender,,,0.948266687,242a9848-63bf-34ba-d391-31493cf89a5d
article,Azure networking services overview,https://docs.microsoft.com/en-us/azure/networking/fundamentals/networking-overview,"4,733",-16.58%,"3,120","2,247",32.88978075,-14.84520164,25.48%,81.92%,12.00%,43.17%,47.48%,14.13%,35.47%,2.77%,0.15%,7%,0%,81%,14,7.41%,0.00%,0.03%,0,1,1,,,,,0-90 days,2022-02-17,2,2022-02-03,kumud,91.00,0.00,0.954028994,3e76dfeb-08d2-547a-3377-c6018a285e56
tutorial,Connect virtual networks with VNet peering - tutorial - Azure portal,https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-connect-virtual-networks-portal,"4,727",-13.23%,"3,486","2,724",27.60526316,-8.144935307,16.56%,86.66%,8.46%,49.55%,57.63%,16.16%,23.65%,2.48%,0.08%,5%,0%,87%,36,15.33%,0.00%,0.03%,0,1,0,0,4,,,0-90 days,2022-04-14,2,2022-04-14,mbender,,,0.9476332,5d33feeb-3746-8191-46fc-5e71f3465580
how-to,"Add, change, or delete an Azure virtual network subnet",https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-manage-subnet,"4,724",-10.05%,"3,685","3,194",37.00275874,-1.795593692,19.26%,89.12%,7.30%,46.06%,67.61%,6.37%,23.88%,2.10%,0.04%,4%,0%,89%,45,5.00%,0.00%,0.00%,0,0,0,2,11,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+b8332806-35c4-26e5-56e6-0286d728ad45+in:body,> 365 days,2022-04-12,4,2020-03-20,mbender,,,1.010782494,8b454a0a-ba74-2cd4-2664-ed13c938fc49
how-to,"Create, change, or delete an Azure virtual network peering",https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-manage-peering,"4,708",-21.18%,"3,251","1,433",48.01993415,-6.55563892,24.34%,90.50%,9.52%,43.54%,30.44%,18.01%,46.41%,5.06%,0.08%,6%,0%,90%,49,3.65%,0.00%,0.00%,0,0,0,0,13,,,91-365 days,2022-04-12,2,2021-09-01,altambaw,,,1.053210606,9d01f618-f079-4cbd-54a1-8ee94944cbd6
how-to,"Create, change, or delete an Azure virtual network",https://docs.microsoft.com/en-us/azure/virtual-network/manage-virtual-network,"4,636",-6.96%,"3,642","2,350",35.22292427,-9.368766276,18.79%,89.18%,7.66%,50.47%,50.69%,12.96%,33.20%,2.59%,0.56%,3%,0%,89%,50,3.08%,0.00%,0.00%,0,0,0,0,6,,,> 365 days,2022-04-12,4,2019-01-10,mbender,86.00,0.00,1.00312053,cac0ae08-7208-4f3c-28f4-31f54496aa2c
how-to,"Create, change, or delete an Azure route table",https://docs.microsoft.com/en-us/azure/virtual-network/manage-route-table,"4,400",-15.69%,"3,190","3,210",36.60229599,0.62450229,22.41%,87.59%,9.09%,40.66%,72.95%,6.80%,18.39%,1.73%,0.11%,5%,0%,87%,28,4.24%,0.00%,0.00%,0,0,0,0,4,,,> 365 days,2022-04-12,4,2020-03-19,mbender,,,1.009043887,14f28850-7a8a-7903-6d73-d37a48925f50
conceptual,"Create, change, or delete an Azure public IP address - Azure Virtual Network",https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/virtual-network-public-ip-address,"4,330",-16.30%,"3,272","1,894",55.59583025,1.693689249,30.88%,87.62%,8.85%,35.31%,43.74%,19.01%,34.94%,2.17%,0.14%,3%,0%,88%,46,3.67%,0.00%,0.00%,0,0,0,0,1,,,91-365 days,2022-03-29,4,2021-05-20,allensu,,,1.09654582,aa4ce4c4-cd37-6e41-f1fe-36ee384be08f
article,Plan Azure virtual networks,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-vnet-plan-design-arm,"4,260",-13.06%,"2,954","1,554",36.5955557,1.053201252,28.08%,83.82%,13.15%,31.67%,36.48%,18.08%,41.13%,3.80%,0.52%,2%,0%,84%,34,4.50%,100.00%,0.03%,1,1,0,0,6,,,> 365 days,2022-04-12,4,2020-04-08,mbender,,,0.987481286,26ebdd77-db09-ca98-3e59-f9f94fbefb19
how-to,Create a VNet peering - different subscriptions,https://docs.microsoft.com/en-us/azure/virtual-network/create-peering-different-subscriptions,"4,259",-13.31%,"2,741","2,007",42.68932989,-5.215397901,21.46%,90.40%,8.50%,47.48%,47.12%,16.44%,33.65%,2.49%,0.31%,5%,0%,90%,24,4.48%,0.00%,0.00%,0,0,0,3,16,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+52fe18fe-efc5-3e63-8200-8e20e885b55e+in:body,> 365 days,2022-04-12,4,2019-04-09,mbender,,,1.033657506,6501955a-1f38-9d66-e010-e982fe7609d4
landing-page,"Azure Virtual Network Documentation - Tutorials, quickstarts, API references",https://docs.microsoft.com/en-us/azure/virtual-network/,"4,253",-17.05%,"2,840",525,57.38341969,0.221790254,57.77%,51.94%,12.93%,15.12%,12.34%,12.44%,73.15%,1.95%,0.12%,1%,0%,52%,0,6.67%,0.00%,0.00%,0,0,0,,,,,> 365 days,2022-04-19,4,2021-01-28,mbender,,,0.874911827,0ca2e340-3f3c-f5ba-97ef-80ea5410b892
how-to,Add network interfaces to or remove from Azure VMs,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-network-interface-vm,"4,160",-14.39%,"3,162","3,140",52.78989054,4.303142689,22.14%,92.03%,6.92%,45.31%,75.48%,5.14%,17.16%,1.83%,0.38%,3%,0%,92%,45,6.46%,0.00%,0.00%,0,0,0,0,2,,,> 365 days,2022-04-12,4,2020-03-13,mbender,,,1.072467067,d5e1370e-cc3e-8c07-f030-ab3ccc893bd0
conceptual,Azure Virtual Network - Concepts and best practices,https://docs.microsoft.com/en-us/azure/virtual-network/concepts-and-best-practices,"4,136",-16.90%,"3,195","1,849",69.14488306,1.196096997,37.23%,87.32%,7.21%,30.85%,44.71%,4.79%,48.31%,1.74%,0.46%,5%,0%,87%,35,24.17%,0.00%,0.00%,0,0,0,,,,,> 365 days,2022-04-12,4,2020-12-03,mbender,,,1.173529572,f1d32fab-5726-7314-f86f-57e3df19ea2f
conceptual,Virtual network for Azure services,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-for-azure-services,"4,037",-5.03%,"2,709",353,43.80886866,-2.658219474,24.30%,89.37%,10.21%,34.18%,8.74%,37.90%,51.50%,1.83%,0.02%,2%,0%,89%,46,28.33%,100.00%,0.07%,2,2,0,4,13,1,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+2422f8ec-802e-7f92-c499-9181f3fe8d8b+in:body,> 365 days,2022-04-21,2,2020-04-06,mbender,,,1.034633955,5d1ef6e9-30cb-1b4c-20dd-c82d7977a4de
article,Azure network round-trip latency statistics,https://docs.microsoft.com/en-us/azure/networking/azure-network-latency,"3,937",-16.02%,"2,676","1,998",81.29512969,0.291737443,52.98%,85.65%,7.98%,55.93%,50.75%,22.56%,13.97%,12.57%,0.15%,2%,0%,86%,25,22.50%,0.00%,0.00%,0,0,0,10,22,3,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+311b6efb-2d93-6130-96a9-867fad56bd52+in:body,91-365 days,2021-06-16,6,2021-06-08,kumud,87.00,0.00,1.306591142,d2a36125-8cca-11b7-688b-c97a1f4bf8f8
article,Design virtual networks with NAT gateway - Azure Virtual Network NAT,https://docs.microsoft.com/en-us/azure/virtual-network/nat-gateway/nat-gateway-resource,"3,853",-19.11%,"2,651","2,349",32.86510848,1.35612469,16.53%,87.89%,9.06%,41.94%,60.97%,18.43%,18.19%,2.34%,0.08%,4%,0%,88%,30,6.36%,0.00%,0.00%,0,0,0,0,1,,,0-90 days,2022-04-19,4,2022-02-25,allensu,,,0.953660568,b5038274-10d2-0152-155a-6950b70d0995
tutorial,Filter network traffic - tutorial - Azure portal,https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-filter-network-traffic,"3,771",-13.15%,"2,832",626,29.86842105,-0.986302419,20.55%,84.25%,8.75%,42.22%,16.60%,16.55%,58.66%,7.96%,0.24%,6%,0%,84%,32,7.50%,100.00%,0.04%,1,1,0,0,11,,,> 365 days,2022-04-12,4,2021-03-06,mbender,,,0.960519958,46fa27ce-0b09-7a4c-b9e7-505cc79416a0
